frame,blink,rubbing,head_tilt_state,head_tilt_angle,yawn,face_detected,pose_detected
605,0,False,0,1.525677012381227,0,True,True
606,0,False,0,2.3289276500521625,0,True,True
607,0,False,0,0.2850512775838264,0,True,True
608,0,False,0,0.13806185209686778,0,True,True
609,0,False,0,2.5300282868063717,0,True,True
610,0,False,0,0.5430716937237866,0,True,True
611,0,False,0,1.6365770416167182,0,True,True
612,0,False,0,1.9274958866719032,0,True,True
613,0,False,0,2.4309083370404045,0,True,True
614,0,False,0,2.5657830616139417,0,True,True
615,0,False,0,1.3870359917806518,0,True,True
616,0,False,0,1.739757484126629,0,True,True
617,0,False,0,0.8050399395698641,0,True,True
618,0,False,0,0.9369969660501472,0,True,True
619,0,False,0,2.436648246810131,0,True,True
620,0,False,0,2.9702306071965188,0,True,True
621,0,False,0,2.5300282868063717,0,True,True
622,0,False,0,2.18684313571567,0,True,True
623,0,False,0,1.9349323095527697,0,True,True
624,0,False,0,2.301428731995053,0,True,True
625,0,False,0,2.1359155478560723,0,True,True
626,0,False,0,0.6788281826712951,0,True,True
627,0,False,0,0.26587177850360316,0,True,True
628,0,False,0,1.5911402711945872,0,True,True
629,0,False,0,0.3933286919364096,0,True,True
630,0,False,0,0.0,0,True,True
631,0,False,0,2.6144295965954436,0,True,True
632,0,False,0,3.061740312556422,0,True,True
633,0,False,0,2.1064813694689324,0,True,True
634,0,False,0,3.0940580589171116,0,True,True
635,0,False,0,2.0273227005001964,0,True,True
636,0,False,0,4.000185760513104,0,True,True
637,0,False,0,3.848179460925052,0,True,True
638,0,False,0,2.0968493479552723,0,True,True
639,0,False,0,4.1391892557261984,0,True,True
640,0,False,0,4.774345180142686,0,True,True
641,0,False,0,4.906633356549315,0,True,True
642,0,False,0,2.181641403551466,0,True,True
643,0,False,0,2.1409013663230994,0,True,True
644,0,False,0,2.590185967782889,0,True,True
645,0,False,0,3.3351429406601807,0,True,True
646,0,False,0,0.2664900760584054,0,True,True
647,0,False,0,0.13873042988760365,0,True,True
648,0,False,0,1.7438293449024447,0,True,True
649,0,False,0,2.1359155478560723,0,True,True
650,0,False,0,1.479139802306038,0,True,True
651,0,False,0,2.4540316745270756,0,True,True
652,0,False,0,2.465758994997765,0,True,True
653,0,False,0,4.018860742173803,0,True,True
654,0,False,0,2.7524854002686845,0,True,True
655,0,False,0,4.367333330655023,0,True,True
656,0,False,0,5.88325027219454,0,True,True
657,0,False,0,5.323552551999004,0,True,True
658,0,False,0,2.6630007660671433,0,True,True
659,0,False,0,0.8569242552882985,0,True,True
660,0,False,0,0.7102418770606245,0,True,True
661,0,False,0,1.0050860052541812,0,True,True
662,0,False,0,0.5683918646793945,0,True,True
663,0,False,0,0.11300928050065026,0,True,True
664,1,False,0,1.955120822822897,0,True,True
665,1,False,0,2.958977438023631,0,True,True
666,1,False,0,1.1432230190574317,0,True,True
667,1,False,0,5.304033325952916,0,True,True
668,1,False,0,5.910740598348649,0,True,True
669,1,False,0,3.897896236738866,0,True,True
670,1,False,0,4.1391892557261984,0,True,True
671,1,False,0,7.523820438638627,0,True,True
672,1,False,0,3.0733325110733523,0,True,True
673,1,False,0,5.762632886598451,0,True,True
674,0,False,0,5.053826050064366,0,True,True
675,0,False,0,3.767123919221955,0,True,True
676,0,False,0,3.1437685829204844,0,True,True
677,0,False,0,5.501884369417857,0,True,True
678,0,False,0,1.9968253070489597,0,True,True
679,0,False,0,1.8941307303587864,0,True,True
680,1,False,0,0.620827802164798,0,True,True
681,1,False,0,2.511363267163078,0,True,True
