frame,blink,perclos,rubbing,head_tilt_state,head_tilt_angle,yawn,key_presses,active_keys,keyboard_burst,mouse_clicks,mouse_distance_px,mouse_speed_px_s,mouse_active,idle_ms,face_detected,pose_detected
0,0,0,0,0,7.467076640260332,0,0,0,0,0,0.0,0.0,0,3346.2538000003406,1,1
1,0,0,0,0,7.714779504415935,0,0,0,0,0,0.0,0.0,0,100.42649999923015,1,1
2,0,0,0,0,9.796209917474519,0,0,0,0,0,0.0,0.0,0,216.36910000052012,1,1
3,0,0,0,0,11.282790941463439,0,0,0,0,0,0.0,0.0,0,365.7645000002958,1,1
4,0,0,0,0,13.232614868395052,0,0,0,0,0,0.0,0.0,0,487.21090000071854,1,1
5,0,0,0,0,11.756674138035597,0,0,0,0,0,0.0,0.0,0,605.1255999991554,1,1
6,0,0,0,0,8.661514819781148,0,0,0,0,0,0.0,0.0,0,726.3922999991337,1,1
7,0,0,0,0,5.949793184865549,0,0,0,0,0,0.0,0.0,0,844.7276999995665,1,1
8,0,0,0,0,3.925907703683982,0,0,0,0,0,0.0,0.0,0,972.7480999990803,1,1
9,0,0,0,0,3.3500763975014807,0,0,0,0,0,0.0,0.0,0,1083.4603000002971,1,1
10,0,0,0,0,4.810586194365647,0,0,0,0,0,0.0,0.0,0,1200.097499999174,1,1
11,0,0,0,0,3.0789573728298865,0,1,1,0,0,0.0,0.0,0,0.0,1,1
12,0,0,0,0,3.592925015770986,0,0,0,0,0,0.0,0.0,0,124.40890000107174,1,1
13,0,0,0,0,2.5779268048937585,0,0,0,0,0,0.0,0.0,0,240.41829999987385,1,1
14,0,0,0,0,2.436648246810131,0,0,0,0,0,0.0,0.0,0,354.7321000005468,1,1
15,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,467.2915000010107,1,1
16,0,0,0,0,1.709814044141531,0,0,0,0,0,0.0,0.0,0,577.6624000009178,1,1
17,0,0,0,0,2.721135690920333,0,0,0,0,0,0.0,0.0,0,689.1355000007025,1,1
18,0,0,0,0,0.5124709445981285,0,0,0,0,0,0.0,0.0,0,817.9872000000614,1,1
19,0,0,0,0,0.5088301353361956,0,0,0,0,0,0.0,0.0,0,930.0579999999172,1,1
20,0,0,0,0,0.10342187235699705,0,0,0,0,0,0.0,0.0,0,1076.488700000482,1,1
21,0,0,0,0,0.41517954114486444,0,0,0,0,0,0.0,0.0,0,1185.5630000009114,1,1
22,0,0,0,0,1.2498914301212114,0,1,1,0,0,0.0,0.0,0,0.0,1,1
