frame,blink,perclos,rubbing,head_tilt_state,head_tilt_angle,yawn,face_detected,pose_detected
115,0,0,False,1,19.6735834938189,0,True,True
116,0,0,False,1,20.907980471009658,0,True,True
117,0,0,False,1,20.52095901483688,0,True,True
118,0,0,False,1,18.621579366487577,0,True,True
119,0,0,False,1,18.144764463583822,0,True,True
120,0,0,False,1,13.164039302056166,0,True,True
121,0,0,False,1,8.247813086365916,0,True,True
122,0,0,False,1,3.892476235155931,0,True,True
123,0,0,False,1,1.8476102659945959,0,True,True
124,0,0,False,0,0.13481335006418257,0,True,True
125,0,0,False,0,1.5838115708619431,0,True,True
126,0,0,False,0,1.8224326876328818,0,True,True
127,0,0,False,0,0.6337770205024109,0,True,True
128,0,0,False,0,2.856206396804214,0,True,True
129,0,0,False,0,5.264075282888774,0,True,True
130,0,0,False,0,5.9440038404665625,0,True,True
131,0,0,False,0,11.814975236223228,0,True,True
132,0,0,False,0,12.32590876605846,0,True,True
133,1,1,False,1,11.853004167744,0,True,True
134,0,0,False,1,10.21767625639011,0,True,True
135,0,0,False,1,10.269251663127992,0,True,True
136,0,0,False,1,10.43747535111818,0,True,True
137,0,0,False,1,7.287578093415564,0,True,True
138,0,0,False,1,8.408911732600714,0,True,True
139,1,1,False,0,4.805601243468985,0,True,True
140,0,0,False,0,7.194550027766582,0,True,True
141,0,0,False,0,3.439869693746025,0,True,True
142,0,0,False,0,2.741350571698855,0,True,True
143,0,0,False,0,2.4121323943058157,0,True,True
144,0,0,False,0,0.20353654884414193,0,True,True
145,0,0,False,0,0.42917384220227756,0,True,True
146,0,0,False,0,0.7358686312043301,0,True,True
147,0,0,False,0,0.5425574520437032,0,True,True
148,0,0,False,0,0.0,0,True,True
149,1,1,False,0,0.23149683933003878,0,True,True
150,1,1,False,0,0.34308439952352937,0,True,True
151,1,1,False,0,1.0891421698965145,0,True,True
152,1,1,False,0,0.31026292135065353,0,True,True
153,1,1,False,0,2.227046967413575,0,True,True
154,1,1,False,0,3.0437358876587526,0,True,True
155,1,1,False,0,0.7768443189755581,0,True,True
156,1,1,False,0,1.6135389328811822,0,True,True
157,1,1,False,0,0.37084129082806133,0,True,True
158,1,1,False,0,0.09470368154509654,0,True,True
159,1,1,False,0,2.054973195188633,0,True,True
160,1,1,False,0,1.5224529992610087,0,True,True
161,1,1,False,0,0.27154194568452233,0,True,True
162,1,1,False,0,2.4129812709727125,0,True,True
163,1,1,False,0,3.4737560052599066,0,True,True
164,0,0,False,0,2.5569643554742685,0,True,True
165,0,0,False,0,2.4347319359137223,0,True,True
166,0,0,False,0,4.786547784726936,0,True,True
167,0,0,False,0,3.1108406534907718,0,True,True
168,0,0,False,0,1.7569883099082009,0,True,True
169,0,0,False,0,3.564638972115678,0,True,True
170,0,0,False,0,2.028953641690831,0,True,True
171,0,0,False,0,3.607568442723836,0,True,True
172,0,0,False,0,3.681235559101505,0,True,True
173,0,0,False,0,2.6733476335868267,0,True,True
174,0,0,False,0,1.8328395059420592,0,True,True
175,0,0,False,0,2.400214460856639,0,True,True
176,0,0,False,0,1.844113422574276,0,True,True
177,0,0,False,0,0.21994433042420616,0,True,True
178,0,0,False,0,0.0,0,True,True
179,0,0,False,0,1.193489423982035,0,True,True
180,0,0,False,0,0.2207918917235838,0,True,True
181,0,0,False,0,0.5435869111067889,0,True,True
182,0,0,False,0,0.5446202841099032,0,True,True
183,0,0,False,0,0.7802444826003744,0,True,True
184,0,0,False,0,1.6979942147503355,0,True,True
185,0,0,False,0,0.5487933653461707,0,True,True
186,0,0,False,0,1.6683374482933075,0,True,True
187,0,0,False,0,0.22424848122371066,0,True,True
188,0,0,False,0,1.2429086982825976,0,True,True
189,0,0,False,0,1.587991113260357,0,True,True
190,0,0,False,0,1.4983407094551355,0,True,True
191,0,0,False,0,0.8951737102110744,0,True,True
192,0,0,False,0,0.22381050036853808,0,True,True
193,0,0,False,0,1.4775397116508782,0,True,True
194,0,0,False,0,1.5104920226816592,0,True,True
195,0,0,False,0,0.4450068148381547,0,True,True
196,0,0,False,0,0.3292824638466701,0,True,True
197,0,0,False,0,0.3218830153987252,0,True,True
198,0,0,False,0,1.6448659617758588,0,True,True
199,0,0,False,0,0.0,0,True,True
200,0,0,False,0,1.773296715560803,0,True,True
201,0,0,False,0,2.067866097714849,0,True,True
202,0,0,False,0,3.936549108428688,0,True,True
203,0,0,False,0,4.722406879915756,0,True,True
204,0,0,False,0,5.836628524869507,0,True,True
205,0,0,False,0,5.194428907734806,0,True,True
206,0,0,False,0,6.683155343953537,0,True,True
207,0,0,False,0,5.256757715906428,0,True,True
208,0,0,False,0,5.64161405327813,0,True,True
209,0,0,False,0,5.492324557127438,0,True,True
210,0,0,False,0,5.718594223820079,0,True,True
211,0,0,False,0,6.049066704199566,0,True,True
212,0,0,False,0,6.862914885733685,0,True,True
213,0,0,False,0,4.202679503719365,0,True,True
214,0,0,False,0,5.669182491694108,0,True,True
215,0,0,False,0,5.042451069170913,0,True,True
216,0,0,False,0,5.62954102080196,0,True,True
217,0,0,False,0,4.9228154482557,0,True,True
218,0,0,False,0,6.431050818991533,0,True,True
219,0,0,False,0,5.179793970757277,0,True,True
220,0,0,False,0,5.42847282470741,0,True,True
221,0,0,False,0,5.057248532559135,0,True,True
222,0,0,False,0,5.105090446592289,0,True,True
223,0,0,False,0,5.366581783461577,0,True,True
224,0,0,False,0,3.104525909264347,0,True,True
225,1,1,False,0,3.7826454465963018,0,True,True
226,1,1,False,0,3.511474315522325,0,True,True
227,1,1,False,0,3.6913859864512757,0,True,True
228,1,1,False,0,3.484433961734197,0,True,True
229,1,1,False,0,2.6407012665312264,0,True,True
230,1,1,False,0,3.4088974831580585,0,True,True
231,1,1,False,0,2.6561472039571177,0,True,True
232,1,1,False,0,3.7560126536051732,0,True,True
233,0,0,False,0,4.053554231831407,0,True,True
234,0,0,False,0,3.9392988698810245,0,True,True
235,0,0,False,0,4.784168002069104,0,True,True
236,0,0,False,0,4.418620466989168,0,True,True
237,0,0,False,0,4.82181735750967,0,True,True
238,0,0,False,0,5.65948184016248,0,True,True
239,0,0,False,0,4.079163825895495,0,True,True
240,0,0,False,0,3.5112591758608187,0,True,True
241,0,0,False,0,5.213668591200067,0,True,True
242,0,0,False,0,5.497450090907484,0,True,True
243,1,1,False,0,3.304748045874019,0,True,True
244,1,1,False,0,4.478775268251663,0,True,True
245,1,1,False,0,6.030989245652178,0,True,True
246,1,1,False,0,4.345007358052979,0,True,True
247,1,1,False,0,2.739335721918572,0,True,True
248,1,1,False,0,4.275841112628942,0,True,True
249,1,1,False,0,4.387860043841114,0,True,True
250,1,1,False,0,3.2423544759081286,0,True,True
251,1,1,False,0,4.289153328819018,0,True,True
252,1,1,False,0,4.0557493042199235,0,True,True
253,1,1,False,0,5.837885452289302,0,True,True
254,1,1,False,0,4.341352241505796,0,True,True
255,1,1,False,0,6.075440096186573,0,True,True
256,1,1,False,0,3.954896555105612,0,True,True
257,1,1,False,0,5.667285678239132,0,True,True
258,1,1,False,0,4.763641690726178,0,True,True
259,1,1,False,0,6.886427331431988,0,True,True
260,1,1,False,0,5.541204778039854,0,True,True
261,0,0,False,0,6.519801751656986,0,True,True
262,0,0,False,0,8.530765609948133,0,True,True
263,0,0,False,0,2.7538769188965366,0,True,True
264,0,0,False,0,5.993349234421166,0,True,True
265,0,0,False,0,6.246315620990128,0,True,True
266,0,0,False,0,6.683864108034118,0,True,True
267,0,0,False,0,8.8129016377444,0,True,True
268,0,0,False,0,7.526573058358493,0,True,True
269,0,0,False,0,6.0013583628371805,0,True,True
270,0,0,False,0,5.461291344610206,0,True,True
271,0,0,False,0,5.986121211202586,0,True,True
272,0,0,False,0,8.150255634898212,0,True,True
273,0,0,False,0,7.072515649319536,0,True,True
274,0,0,False,0,7.949990472546822,0,True,True
275,0,0,False,0,8.353357892560298,0,True,True
276,0,0,False,0,7.652821496689323,0,True,True
277,0,0,False,0,7.984205813690054,0,True,True
278,0,0,False,0,8.949458084208882,0,True,True
279,0,0,False,1,12.271493064030599,0,True,True
280,0,0,False,1,13.519414114129388,0,True,True
281,0,0,False,1,14.817323633316063,0,True,True
282,0,0,False,1,14.71204700933399,0,True,True
283,0,0,False,1,12.72920017509655,0,True,True
284,0,0,False,1,13.622426911283418,0,True,True
285,0,0,False,1,8.287322836302277,0,True,True
286,0,0,False,1,5.251983664381161,0,True,True
287,0,0,False,0,1.9091524329963763,0,True,True
288,0,0,False,0,0.8001683593331333,0,True,True
289,0,0,False,0,2.6400104190713294,0,True,True
290,0,0,False,0,3.1522354296653035,0,True,True
291,0,0,False,0,2.2332441684245388,0,True,True
292,0,0,False,0,2.772842477595963,0,True,True
293,0,0,False,0,4.96281509300405,0,True,True
294,0,0,False,0,1.7357045889283889,0,True,True
295,0,0,False,0,3.4873965341118374,0,True,True
296,0,0,False,0,2.8002791680379455,0,True,True
297,0,0,False,0,1.8575903703202563,0,True,True
298,0,0,False,0,2.366247991455786,0,True,True
299,0,0,False,0,3.6254646832379933,0,True,True
300,0,0,False,0,1.2625125302073197,0,True,True
301,0,0,False,0,1.6272833223935903,0,True,True
302,0,0,False,0,0.15527273509191603,0,True,True
303,0,0,False,0,0.6330767714311314,0,True,True
304,0,0,False,0,2.8624052261117474,0,True,True
305,0,0,False,0,2.788707679844201,0,True,True
306,0,0,False,0,0.31308857502065557,0,True,True
307,0,0,False,0,1.4441255309358456,0,True,True
308,0,0,False,0,1.448180338282978,0,True,True
309,0,0,False,0,1.3245219122911984,0,True,True
310,0,0,False,0,5.483590444464439,0,True,True
311,0,0,False,0,2.220884048223606,0,True,True
312,0,0,False,0,3.463243982716983,0,True,True
313,0,0,False,0,4.422911428550351,0,True,True
314,0,0,False,0,3.8969619801036113,0,True,True
315,1,1,False,0,4.362888035522984,0,True,True
316,1,1,False,0,3.4119696129644455,0,True,True
317,1,1,False,0,4.028263666485141,0,True,True
318,1,1,False,0,5.292947714249861,0,True,True
319,1,1,False,0,4.518071389620738,0,True,True
320,1,1,False,0,4.505844647450877,0,True,True
