frame,blink,rubbing,head_tilt_state,head_tilt_angle,yawn,face_detected,pose_detected
1,0,False,1,8.934707507584706,0,True,True
2,0,False,1,6.056468969843429,0,True,True
3,0,False,1,7.625403447694031,0,True,True
4,0,False,0,6.0724564072077,0,True,True
5,0,False,0,6.993345386806125,0,True,True
6,0,False,0,8.615648184164113,0,True,True
7,0,False,0,6.747291144316347,0,True,True
8,0,False,0,2.220884048223606,0,True,True
9,0,False,0,5.010380829709329,0,True,True
10,0,False,0,3.5666674644238037,0,True,True
11,0,False,0,4.963234280317118,0,True,True
12,0,False,0,2.4431381125028357,0,True,True
13,0,False,0,1.5867349367796881,0,True,True
14,0,False,0,3.2122097601092183,0,True,True
15,0,False,0,0.795723552739274,0,True,True
16,0,False,0,1.5357120154043078,0,True,True
17,0,False,0,0.9240453527727062,0,True,True
18,0,False,0,3.4212192764293063,0,True,True
19,0,False,0,0.5937173962125847,0,True,True
20,0,False,0,1.7276551678640266,0,True,True
21,0,False,0,0.8355042246909916,0,True,True
22,0,False,0,0.10342187235699705,0,True,True
23,0,False,0,5.3837016768117545,0,True,True
24,0,False,0,6.496798328417172,0,True,True
25,0,False,0,8.349745558931048,0,True,True
26,0,False,0,7.943471810590411,0,True,True
27,0,False,0,9.124455295420484,0,True,True
28,0,False,0,9.169438985221706,0,True,True
29,0,False,0,7.956335703394713,0,True,True
30,0,False,0,7.779720407489019,0,True,True
31,0,False,0,6.328567526245277,0,True,True
32,0,False,0,6.519801751656986,0,True,True
33,0,False,0,5.548466293718066,0,True,True
34,0,False,0,6.859760005525811,0,True,True
35,0,False,0,5.593052538749844,0,True,True
36,0,False,0,4.892769114279933,0,True,True
37,0,False,0,4.368949045277635,0,True,True
38,0,False,0,2.9737310824801084,0,True,True
39,0,False,0,2.5528981471717573,0,True,True
40,0,False,0,2.02569437812268,0,True,True
41,0,False,0,3.3018656744350032,0,True,True
42,1,False,0,3.116988599120171,0,True,True
43,0,False,0,3.6973329249854316,0,True,True
44,0,False,0,2.903162571088,0,True,True
45,0,False,0,2.7263109939062655,0,True,True
46,0,False,0,2.602562202499806,0,True,True
47,0,False,0,2.852911310786362,0,True,True
48,0,False,0,3.281494171814086,0,True,True
49,0,False,0,3.594502362818759,0,True,True
50,0,False,0,1.4891562618065552,0,True,True
51,0,False,0,1.191233951026735,0,True,True
52,0,False,0,0.8234965895912365,0,True,True
53,0,False,0,1.414423211402155,0,True,True
54,0,False,0,1.6083142349249275,0,True,True
55,0,False,0,1.691788568264482,0,True,True
56,0,False,0,2.4059705166453,0,True,True
57,1,False,0,5.698014481387111,0,True,True
58,0,False,0,7.170119288559222,0,True,True
59,0,False,0,9.234548353851668,0,True,True
60,0,False,0,11.849979526480217,0,True,True
61,0,False,0,8.565351975126074,0,True,True
62,0,False,0,7.652821496689323,0,True,True
63,0,False,0,8.59233257565494,0,True,True
64,1,False,0,5.107835856012783,0,True,True
65,1,False,0,3.1798301198642345,0,True,True
66,1,False,0,4.280623998102258,0,True,True
67,0,False,0,4.573921259900861,0,True,True
68,0,False,0,4.130856233276415,0,True,True
69,0,False,0,0.1675310416018684,0,True,True
70,0,False,0,2.8387878410053813,0,True,True
71,0,False,0,4.039605322679908,0,True,True
72,0,False,0,1.269504776751427,0,True,True
73,0,False,0,3.0896716112520415,0,True,True
74,0,False,0,2.145524354897001,0,True,True
75,0,False,0,2.1210963966614536,0,True,True
76,0,False,0,0.9495668564358234,0,True,True
77,0,False,0,0.3311857884153844,0,True,True
78,0,False,0,2.164217607377198,0,True,True
79,0,False,0,2.6521321390372643,0,True,True
80,0,False,0,0.4855458300081336,0,True,True
81,0,False,0,0.16139613512038367,0,True,True
82,0,False,0,3.1363583683325875,0,True,True
83,0,False,0,3.5263729475548127,0,True,True
84,0,False,0,3.4212192764293063,0,True,True
85,1,False,0,3.6277299294873404,0,True,True
86,1,False,0,6.042235345975982,0,True,True
87,1,False,0,6.639470518893664,0,True,True
88,1,False,0,6.654425046006596,0,True,True
89,1,False,0,4.724451697170886,0,True,True
90,1,False,0,2.1210963966614536,0,True,True
91,1,False,0,4.398705354995532,0,True,True
92,1,False,0,4.644081925561028,0,True,True
93,1,False,0,4.362888035522984,0,True,True
94,0,False,0,3.8550735961751568,0,True,True
95,0,False,0,4.108112177135867,0,True,True
96,0,False,0,3.3664606634298013,0,True,True
97,0,False,0,5.180236245277238,0,True,True
98,0,False,0,4.074461059805667,0,True,True
99,0,False,0,2.8310016778652676,0,True,True
100,0,False,0,3.339732732148364,0,True,True
101,0,False,0,2.1099428481332576,0,True,True
102,0,False,0,0.0,0,True,True
103,0,False,0,1.2118453656913273,0,True,True
104,0,False,0,1.091216225262598,0,True,True
105,0,False,0,0.328652874488824,0,True,True
106,0,False,0,0.7265379704911686,0,True,True
107,0,False,0,1.0397366618423245,0,True,True
108,0,False,0,0.4324127675376865,0,True,True
109,1,False,0,1.6180945327374552,0,True,True
110,1,False,0,2.4121323943058157,0,True,True
111,1,False,0,1.0648546934589584,0,True,True
112,1,False,0,0.3194898829217858,0,True,True
113,1,False,0,1.8688729244122853,0,True,True
114,1,False,0,1.9091524329963763,0,True,True
115,1,False,0,1.384902921942033,0,True,True
116,0,False,0,1.8867081457108832,0,True,True
117,0,False,0,0.9525736408004679,0,True,True
118,0,False,0,3.1049826385825656,0,True,True
119,0,False,0,3.7871036549646138,0,True,True
120,0,False,0,3.994219832396968,0,True,True
121,0,False,0,5.640549432156823,0,True,True
122,0,False,0,5.877392606643136,0,True,True
123,0,False,0,6.323598702784719,0,True,True
124,0,False,0,6.593636478199703,0,True,True
125,0,False,0,6.063087718211825,0,True,True
126,0,False,0,7.526573058358493,0,True,True
127,0,False,0,8.073204875825194,0,True,True
128,0,False,0,8.093885052081415,0,True,True
129,0,False,0,8.505748351626133,0,True,True
130,0,False,0,9.358478589036539,0,True,True
131,0,False,1,16.04162654526047,0,True,True
132,0,False,1,13.409595867094065,0,True,True
133,0,False,1,9.366509957012122,0,True,True
134,0,False,1,3.0067122439459997,0,True,True
135,0,False,0,1.457308230433425,0,True,True
136,0,False,0,6.581944655178011,0,True,True
137,0,False,1,13.366930696316848,0,True,True
138,0,False,1,30.732641696582036,0,True,True
139,0,False,1,45.22646435234118,0,True,True
140,0,False,2,68.36749340322714,0,True,True
141,0,False,0,,0,False,True
142,0,False,0,,0,False,True
143,0,False,0,,0,False,True
144,0,False,0,,0,False,True
145,0,False,0,,0,False,True
146,0,False,0,,0,False,True
147,0,False,0,,0,False,True
148,0,False,0,,0,False,False
149,0,False,0,,0,False,False
150,0,False,0,,0,False,False
151,0,False,0,,0,False,True
152,1,False,2,43.45623210943461,0,True,True
153,1,False,2,32.72169236908469,0,True,True
154,1,False,2,13.754505204668703,0,True,True
155,1,False,1,5.5114774160206155,0,True,True
156,1,False,1,5.5114774160206155,0,True,True
157,1,False,1,5.344373902903115,0,True,True
158,1,False,1,5.63068275763526,0,True,True
159,1,False,1,7.70551193484451,0,True,True
160,1,False,1,6.537558445496415,0,True,True
161,1,False,1,5.024075258539548,0,True,True
162,1,False,1,5.550499789582951,0,True,True
163,1,False,0,3.3971329193397604,0,True,True
164,1,False,0,3.258577604577196,0,True,True
165,1,False,0,1.0563981976774122,0,True,True
166,1,False,0,1.1017061152063747,0,True,True
167,1,False,0,0.46517878696055637,0,True,True
168,1,False,0,1.1001952302451439,0,True,True
