frame,blink,perclos,rubbing,head_tilt_state,head_tilt_angle,yawn,face_detected,pose_detected
614,0,0,False,0,6.2772984895975545,0,True,True
615,0,0,False,0,5.73983313471272,0,True,True
616,0,0,False,0,8.503295503212925,0,True,True
617,0,0,False,0,9.319321391359525,0,True,True
618,0,0,False,0,5.020846326788728,0,True,True
619,0,0,False,0,7.778345035907245,0,True,True
620,0,0,False,0,7.324336725939483,0,True,True
621,0,0,False,0,6.6424993573283695,0,True,True
622,0,0,False,0,6.726172025992335,0,True,True
623,0,0,False,0,7.324336725939483,0,True,True
624,0,0,False,0,8.411355674738504,0,True,True
625,0,0,False,0,6.675999056183462,0,True,True
626,0,0,False,0,7.518426879442183,0,True,True
627,0,0,False,0,4.870581014000556,0,True,True
628,0,0,False,0,6.668485934802749,0,True,True
629,0,0,False,0,7.214262039206761,0,True,True
630,0,0,False,0,6.1817414321673745,0,True,True
631,0,0,False,0,6.775656169399013,0,True,True
632,0,0,False,0,6.486395572503504,0,True,True
633,0,0,False,0,6.434739151036719,0,True,True
634,0,0,False,0,6.434739151036719,0,True,True
635,0,0,False,0,6.57649414344473,0,True,True
636,0,0,False,0,6.34019174590991,0,True,True
637,0,0,False,0,5.935171230951807,0,True,True
638,0,0,False,0,8.09270302558175,0,True,True
639,0,0,False,0,8.09270302558175,0,True,True
640,0,0,False,0,8.147501618581076,0,True,True
641,0,0,False,0,5.095699919558608,0,True,True
642,0,0,False,0,2.657390682905489,0,True,True
643,0,0,False,0,3.5010739696899638,0,True,True
644,0,0,False,0,2.147585428298503,0,True,True
645,0,0,False,0,3.3664606634298013,0,True,True
646,0,0,False,0,1.4782726566888706,0,True,True
647,0,0,False,0,3.0383260714749065,0,True,True
648,0,0,False,0,4.632183196785823,0,True,True
