frame,blink,perclos,rubbing,head_tilt_state,head_tilt_angle,yawn,face_detected,pose_detected
1,0,0,False,0,2.2328786730907697,0,True,True
2,0,0,False,0,1.4386326942627028,0,True,True
3,0,0,False,0,1.036914464530091,0,True,True
4,0,0,False,0,0.625474928774865,0,True,True
5,0,0,False,0,1.229334486477892,0,True,True
6,0,0,False,0,0.23922942195358782,0,True,True
7,0,0,False,0,0.0,0,True,True
8,0,0,False,0,3.644489512771559,0,True,True
9,0,0,False,0,4.361572645020596,0,True,True
10,0,0,False,0,3.675620483784406,0,True,True
11,0,0,False,0,1.4224020136779825,0,True,True
12,0,0,False,0,2.789748670514689,0,True,True
13,0,0,False,0,5.131165282896319,0,True,True
14,0,0,False,0,5.971565897796431,0,True,True
15,0,0,False,0,5.635232328535395,0,True,True
16,0,0,False,0,5.393440887921946,0,True,True
17,0,0,False,0,5.754565331102192,0,True,True
18,0,0,False,0,6.927218126009166,0,True,True
19,0,0,False,0,8.74616226255521,0,True,True
20,0,0,False,0,2.3946101090511682,0,True,True
21,0,0,False,0,3.7313969991604465,0,True,True
22,0,0,False,0,2.494065466647074,0,True,True
23,0,0,False,0,3.3664606634298013,0,True,True
24,0,0,False,0,2.5980264378233184,0,True,True
25,0,0,False,0,3.2486952063100447,0,True,True
26,0,0,False,0,3.6581937858962545,0,True,True
27,0,0,False,0,2.515923520215444,0,True,True
28,0,0,False,0,2.8793141173172137,0,True,True
29,0,0,False,0,0.883875986377527,0,True,True
30,0,0,False,0,1.4650458300925513,0,True,True
31,0,0,False,0,0.759846425610507,0,True,True
32,0,1,False,0,0.5658658432466344,0,True,True
33,0,1,False,0,2.9514854788793694,0,True,True
34,1,1,False,0,0.5000751526082063,0,True,True
35,0,1,False,0,0.13707098135465665,0,True,True
36,0,1,False,0,0.28017272780797736,0,True,True
37,0,1,False,0,0.21648176398134386,0,True,True
38,0,1,False,0,0.21352365565448744,0,True,True
39,0,1,False,0,1.9044535541359484,0,True,True
40,0,1,False,0,2.3358628949235287,0,True,True
41,0,1,False,0,0.727988516585037,0,True,True
42,0,1,False,0,3.321131733398747,0,True,True
43,0,1,False,0,4.194182788390857,0,True,True
44,0,1,False,0,4.138646589556669,0,True,True
