frame,blink,perclos,rubbing,head_tilt_state,head_tilt_angle,yawn,key_presses,active_keys,keyboard_burst,mouse_clicks,mouse_distance_px,mouse_speed_px_s,mouse_active,idle_ms,face_detected,pose_detected
1,0,0,0,0,0.6319131218209685,0,0,0,0,0,559.2173101755703,21.282454974218155,1,0.0,1,1
2,0,0,0,0,8.268832784043584,0,0,0,0,0,0.0,0.0,0,164.6997999996529,1,1
3,0,0,0,0,10.761200940764901,0,0,0,0,0,0.0,0.0,0,305.7521999999153,1,1
4,0,0,0,0,2.588737669166182,0,0,0,0,0,0.0,0.0,0,426.3372999994317,1,1
5,0,0,0,0,2.502336451352648,0,0,0,0,0,0.0,0.0,0,549.6330999994825,1,1
6,0,0,0,0,4.19511170829209,0,0,0,0,0,0.0,0.0,0,676.0331999994378,1,1
7,0,0,0,0,6.479899411487017,0,0,0,0,0,0.0,0.0,0,805.5126999988715,1,1
8,0,0,0,0,2.6087947467494628,0,0,0,0,0,0.0,0.0,0,921.6700999986642,1,1
9,0,0,0,0,1.053596712921248,0,0,0,0,0,0.0,0.0,0,1039.4923999992898,1,1
10,0,0,0,0,3.9938995868040927,0,0,0,0,0,0.0,0.0,0,1161.732700000357,1,1
11,0,0,0,0,5.5070113888251795,0,0,0,0,0,0.0,0.0,0,1278.57640000002,1,1
12,0,0,0,0,2.843052903211188,0,0,0,0,0,0.0,0.0,0,1394.8123999998643,1,1
13,0,0,0,0,0.6466517691289186,0,0,0,0,0,0.0,0.0,0,1511.845799999719,1,1
14,0,0,0,0,3.5474893801966263,0,0,0,0,0,0.0,0.0,0,1665.2200999997149,1,1
15,0,0,0,0,3.1718368471045566,0,0,0,0,0,0.0,0.0,0,1791.9380999992427,1,1
16,0,0,0,0,1.7400960796466296,0,0,0,0,0,0.0,0.0,0,1909.3434999995225,1,1
17,0,0,0,0,0.14843432987481794,0,0,0,0,0,0.0,0.0,0,2025.0656999996863,1,1
18,0,0,0,0,0.27813266729636266,0,0,0,0,0,0.0,0.0,0,2145.7179999997607,1,1
19,0,0,0,0,,0,0,0,0,0,0.0,0.0,0,2263.0079999998998,0,1
20,0,0,0,0,0.725224299059252,0,0,0,0,0,0.0,0.0,0,2373.4628000001976,1,1
21,0,0,0,0,1.9704079204013778,0,0,0,0,0,0.0,0.0,0,2487.731699999131,1,1
22,0,0,0,0,2.7263109939062655,0,0,0,0,0,0.0,0.0,0,2601.0126000001037,1,1
23,0,0,0,0,1.3322198538696388,0,0,0,0,0,0.0,0.0,0,2722.304199998689,1,1
24,0,0,0,0,1.6568539475224957,0,0,0,0,0,0.0,0.0,0,2837.616299999354,1,1
25,0,0,0,0,0.23578376987661054,0,0,0,0,0,0.0,0.0,0,2955.837999999858,1,1
26,0,0,0,0,0.7313957530975439,0,0,0,0,0,0.0,0.0,0,3065.9605999990163,1,1
27,0,0,0,0,1.4261563355944804,0,0,0,0,0,0.0,0.0,0,3183.092699999179,1,1
28,0,0,0,0,1.8476102659945959,0,0,0,0,0,0.0,0.0,0,3297.674999999799,1,1
29,0,0,0,0,1.9580674292340414,0,0,0,0,0,0.0,0.0,0,3422.5839999999152,1,1
30,0,0,0,0,3.805642784386095,0,0,0,0,0,0.0,0.0,0,3538.042599999244,1,1
31,0,0,0,0,1.391014886606333,0,0,0,0,0,0.0,0.0,0,3665.1803999993717,1,1
32,0,0,0,0,0.2552133656086074,0,0,0,0,0,0.0,0.0,0,3802.0551999998133,1,1
33,0,0,0,0,0.6466517691289186,0,0,0,0,0,0.0,0.0,0,3925.7827999990695,1,1
34,0,0,0,0,0.5184996872906731,0,0,0,0,0,0.0,0.0,0,4042.4990999999864,1,1
35,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,4158.73079999983,1,1
36,0,0,0,0,0.7759676267889662,0,0,0,0,0,0.0,0.0,0,4288.6504999987665,1,1
37,0,0,0,0,0.1262019534227134,0,0,0,0,0,0.0,0.0,0,4407.3640999995405,1,1
38,0,0,0,0,0.6437457141753808,0,0,0,0,0,0.0,0.0,0,4523.232100000314,1,1
39,0,0,0,0,0.6351821760496672,0,0,0,0,0,0.0,0.0,0,4668.784899999082,1,1
40,0,0,0,0,1.2188752351312977,0,1,1,0,0,0.0,0.0,0,0.0,1,1
41,0,0,0,0,1.3728386901468195,0,0,0,0,0,0.0,0.0,0,159.76339999906486,1,1
42,0,0,0,0,1.1208613753103172,0,0,0,0,0,0.0,0.0,0,304.72740000004706,1,1
43,0,0,0,0,1.8881880067409305,0,0,0,0,0,0.0,0.0,0,423.9893999983906,1,1
44,0,0,0,0,2.6541955134066213,0,0,0,0,0,0.0,0.0,0,551.7132999993919,1,1
45,0,0,0,0,3.381159426450872,0,0,0,0,0,0.0,0.0,0,669.2146999994293,1,1
46,0,0,0,0,3.0062070770257474,0,0,0,0,0,0.0,0.0,0,795.018999999229,1,1
47,0,0,0,0,3.2071854672786824,0,0,0,0,0,0.0,0.0,0,913.4583999984898,1,1
48,0,0,0,0,2.967319827910612,0,0,0,0,0,0.0,0.0,0,1041.0174999997253,1,1
49,0,0,0,0,2.2167943407401904,0,0,0,0,0,0.0,0.0,0,1161.874599998555,1,1
