frame,blink,perclos,rubbing,head_tilt_state,head_tilt_angle,yawn,key_presses,active_keys,keyboard_burst,mouse_clicks,mouse_distance_px,mouse_speed_px_s,mouse_active,idle_ms,face_detected,pose_detected
646,0,0,False,1,18.780331120074575,0,0,1,0,0,0.0,0.0,0,11.643699999694945,True,True
647,0,0,False,1,19.3289586471433,0,0,0,0,0,0.0,0.0,0,130.54819999888423,True,True
648,0,0,False,1,19.047907345367435,0,0,0,0,0,0.0,0.0,0,258.75119999909657,True,True
649,0,0,False,1,20.034548220694944,0,0,0,0,0,0.0,0.0,0,370.35869999999704,True,True
650,0,0,False,1,19.842970373458055,0,0,0,0,0,0.0,0.0,0,483.68389999996,True,True
651,0,0,False,1,19.543760950681943,0,0,0,0,0,0.0,0.0,0,588.1079999999201,True,True
652,0,0,False,1,20.944015547713157,0,0,0,0,0,0.0,0.0,0,709.5240999988164,True,True
653,0,0,False,1,21.28640511365909,0,0,0,0,0,0.0,0.0,0,822.3929999985558,True,True
654,0,0,False,1,23.900787749761673,0,0,0,0,0,0.0,0.0,0,935.7754999982717,True,True
655,0,0,False,1,23.498565675952097,0,0,0,0,0,0.0,0.0,0,1056.2010999983613,True,True
656,0,0,False,1,21.84640027373849,0,0,0,0,0,0.0,0.0,0,1172.6119999984803,True,True
657,0,0,False,1,23.134680022013917,0,0,0,0,0,0.0,0.0,0,1280.463699999018,True,True
658,0,0,False,1,21.335031675234884,0,0,0,0,0,0.0,0.0,0,1410.0286999982927,True,True
659,0,0,False,1,20.45157269754511,0,0,0,0,0,0.0,0.0,0,1520.8130999999412,True,True
660,0,0,False,1,18.39291230844461,0,0,0,0,0,0.0,0.0,0,1627.153499999622,True,True
661,0,0,False,1,16.484453189535667,0,0,0,0,0,0.0,0.0,0,1745.6480999990163,True,True
662,0,0,False,1,17.684392026557745,0,0,0,0,0,0.0,0.0,0,1852.558599999611,True,True
663,0,0,False,1,18.18180269614864,0,0,0,0,0,0.0,0.0,0,1966.0879999992176,True,True
664,0,0,False,1,19.11802560329943,0,0,0,0,0,0.0,0.0,0,2070.5690999984654,True,True
665,0,0,False,1,19.87687219460331,0,0,0,0,0,0.0,0.0,0,2187.153999999282,True,True
666,0,0,False,1,19.887950654205866,0,0,0,0,0,0.0,0.0,0,2295.5171999983577,True,True
667,0,0,False,1,19.10309089125074,0,0,0,0,0,0.0,0.0,0,2416.1920999995345,True,True
668,0,0,False,1,19.706156921727967,0,0,0,0,0,0.0,0.0,0,2523.821599999792,True,True
669,0,0,False,1,19.76910716105904,0,0,0,0,0,0.0,0.0,0,2633.6259999989124,True,True
670,0,0,False,1,18.55763767076109,0,0,0,0,0,0.0,0.0,0,2749.1945999991003,True,True
671,0,0,False,1,21.309310597172612,0,0,0,0,0,14.866068747318506,122.5076350381834,1,0.0,True,True
672,0,0,False,1,20.526835036280296,0,0,0,0,0,99.85990186255943,917.7818980330607,1,0.0,True,True
673,0,0,False,1,19.877764152064987,0,0,0,0,0,37.21558813185679,320.7695600970294,1,0.0,True,True
674,0,0,False,1,19.98310652189998,0,0,0,0,0,4.123105625617661,39.279718405263374,1,0.0,True,True
675,0,0,False,1,20.439679236878266,0,0,0,0,0,23.259406699226016,217.11648418519067,1,0.0,True,True
676,0,0,False,1,20.41255496231213,0,0,0,0,0,28.0178514522438,252.34419300064323,1,0.0,True,True
677,0,0,False,1,20.859960371215433,0,0,0,0,0,2.23606797749979,19.40207652746996,1,0.0,True,True
678,0,0,False,1,21.2819901613513,0,0,0,0,0,0.0,0.0,0,106.23390000000654,True,True
679,0,0,False,1,18.91440022171858,0,0,0,0,0,0.0,0.0,0,226.13079999973706,True,True
680,0,0,False,1,20.792619997002888,0,0,0,0,0,0.0,0.0,0,335.44179999989865,True,True
681,0,0,False,1,19.687116198125864,0,0,0,0,0,0.0,0.0,0,458.51910000055796,True,True
682,0,0,False,1,19.525011821135006,0,0,0,0,0,0.0,0.0,0,573.2531000012386,True,True
683,0,0,False,1,19.025606037568682,0,0,0,0,0,0.0,0.0,0,685.7214999999997,True,True
684,0,0,False,1,20.71915388213039,0,0,0,0,0,9.899494936611665,95.70351410875536,1,0.0,True,True
685,0,0,False,1,19.529141722919274,0,0,0,0,0,111.73182178770737,963.7096462363619,1,0.0,True,True
686,0,0,False,1,19.7617255868261,0,0,0,0,0,2.23606797749979,18.233759950347157,1,0.0,True,True
